BD_MATRICULA,F1,F3,F4,P7_1,P17,P19,P32,P33_1,P33_2,P33_3,P33_4,P33_9,P56,P57,P58,P59_1,P59_2,P59_3,P59_4,P59_5,P59_6,P59_7,P59_8,P59_9,P60,P37_1,P37_2,P37_3,P37_4,P37_5,P37_6,P37_7,P37_8,P37_9,P37_10,P37_11,P37_12,P38_1,P38_2,P38_3,P38_4,P38_5,P38_6,P38_7,P38_8,P38_9,P38_10,P38_11,P38_12,P61A_1,P61A_2,P61A_3,P61A_4,P61A_5,P61A_6,P61A_7,P61A_8,P61B_1,P61B_2,P61B_3,P61B_4,P61B_5,P61B_6,P61B_7,P61B_8,year
3490234_2023,3,2,1,2,5,2,4,3,3,3,3,3,2,1,2,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2023
3437580_2023,1,2,1,1,3,1,3,2,3,3,3,3,2,3,2,,,,,,,,,,,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2023
2267505_2023,5,1,3,4,3,1,4,4,4,4,4,4,3,2,2,,,,,,,,,,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2023
3601179_2023,4,1,1,1,2,1,2,1,1,1,1,1,1,3,1,1,1,1,2,2,2,2,2,2,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,2023
394089_2023,4,3,4,4,4,2,4,3,4,4,4,4,3,2,2,,,,,,,,,,,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,2023
1922390_2023,3,3,3,1,3,1,3,3,3,3,3,2,2,3,2,,,,,,,,,,,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,2023
1030891_2023,1,1,1,1,2,1,3,2,1,3,1,1,2,3,2,,,,,,,,,,,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,2023
1753988_2023,4,3,2,1,1,1,1,1,1,3,3,1,2,3,2,,,,,,,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2023
3010156_2023,4,3,1,1,3,1,4,4,4,5,3,5,3,3,1,1,2,2,2,2,2,2,1,2,2,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2023
3455624_2023,1,3,1,1,3,1,3,4,3,3,5,3,2,3,2,,,,,,,,,,,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,2023
