NUMERO,REGION,F4,F5,P32,P33_C,P33_H,P33_S,P33_W,P56,P56_1,P57,P58,P60,FACTOR_TOTAL,P59_A,P59_B,P59_C,P59_D,P59_E,P59_F,P59_G,P59_H,P59_I,P61B_1,P61B_2,P61B_3,P61B_4,P61B_5,P61B_6,P61B_7,P61B_8,P61B_9,P61B_OTRO,P61B_OTRO_COD,P61A_1,P61A_2,P61A_3,P61A_4,P61A_5,P61A_6,P61A_7,P61A_8,P61A_9,P61A_OTRO,P61A_OTRO_COD,anio,tamano_empresa,es_mipyme,sector
2,1,3,1,3,3,2,4,3,3,3,2,2,,272.0928725701944,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,90.0,,,2024,Micro,1,Servicios
3,1,3,1,3,2,3,1,1,2,4,2,2,,272.0928725701944,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,90.0,,,2024,Micro,1,Servicios
5,1,1,1,3,2,1,3,3,2,5,3,1,1.0,103.51764705882353,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,,,,5.0,,,,,,,,2.0,,,5.0,,,,,,,2024,Micro,1,Industria
6,1,2,1,1,2,4,3,2,1,4,3,2,,209.6189111747851,,,,,,,,,,1.0,,,,,,,,,,,,2.0,3.0,,,,,,,,,2024,Micro,1,Comercio
7,1,2,1,3,3,2,2,2,2,2,3,2,,209.6189111747851,,,,,,,,,,,,3.0,,,,7.0,,,,,,2.0,,,,6.0,,,,,,2024,Micro,1,Comercio
8,1,3,1,3,4,1,5,3,1,4,3,1,1.0,272.0928725701944,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,,,,,,,,,capacitacion al personal,10.0,,2.0,,,,,,,,,,2024,Micro,1,Servicios
9,1,3,1,4,1,1,1,1,2,3,3,2,,272.0928725701944,,,,,,,,,,1.0,,3.0,,,6.0,,,,,,1.0,,,,,,7.0,,,,,2024,Micro,1,Servicios
10,1,2,1,3,5,4,5,5,1,4,3,2,,209.6189111747851,,,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,,,1.0,2.0,3.0,,5.0,6.0,,,,,,2024,Micro,1,Comercio
13,1,3,1,4,4,2,3,4,3,3,2,2,,272.0928725701944,,,,,,,,,,1.0,,,,,6.0,,,,,,,,,4.0,,,,,,,,2024,Micro,1,Servicios
14,1,1,1,1,4,3,3,3,1,4,3,2,,103.51764705882353,,,,,,,,,,,2.0,3.0,4.0,5.0,,,,,,,,,,,,6.0,,,,,,2024,Micro,1,Industria
15,1,3,1,4,5,3,5,3,3,4,3,2,,272.0928725701944,,,,,,,,,,,2.0,,,,,,,,,,1.0,2.0,,,5.0,,,,,,,2024,Micro,1,Servicios
16,1,1,1,3,4,1,1,1,3,4,3,1,1.0,103.51764705882353,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,,,,,,,,,,2.0,,4.0,,6.0,7.0,,,,,2024,Micro,1,Industria
