ID,Localidad,UPL,P131_1,P131_2,P131_3,P131_4,P131_5,P131_6,P131_7,P131_8,P131_9,P131_10,P131_11,P131_12,P131_13,P131_14,P131_15,P131_16,P131_17,P131_18,P131_19,P131_20,P131_21,P131_22,P133_1,P133_2,P133_3,P133_4,P133_5,P133_6,P133_7,P133_8,P133_9,P133_10,P133_11,P133_12,P133_13,P134_1,P134_2,P134_3,P134_4,P134_5,P134_6,P134_7,P134_8,P134_9,P134_10,P134_11,P134_12,P130_1,P130_2,P130_3,P130_4,P130_5,P130_6,P130_7,P130_8,P130_9,P130_10,P130_11,P130_12,P130_13,P130_14,P130_15,P130_16,P130_17,P130_18,P130_19,P130_20,P130_21,P130_22,P130_23,P130_24,P130_25,P130_26,P130_27,P8_1,P8_2,P8_3,P152,P800,P801,REDAD,P802,FACTOR_1,FACTOR_2,P129
1,1,3,3,1,5,99,99,99,99,99,99,2,99,2,5,2,4,4,4,99,99,99,3,99,1,1,99,99,2,2,1,1,1,1,99,1,2,1.0,2.0,,,,6.0,,,,,,,3,4,5,99,99,99,99,99,99,4,99,3,5,3,3,3,4,99,2,99,99,2,99,4,99,3,5,,,,4,2,41,3,4,518.7396010298404,775.6471714382463,4
2,1,3,3,3,5,99,99,99,99,99,99,99,4,4,5,3,5,4,3,99,99,99,3,99,1,1,2,2,99,1,1,1,1,1,99,1,2,1.0,2.0,3.0,,,,,,,,,,2,2,4,99,99,99,99,99,99,99,4,2,5,3,4,4,3,99,4,99,99,3,99,3,99,4,5,,,,3,2,57,5,3,627.8615550109802,775.6471714382463,4
3,1,3,4,2,5,99,99,99,99,99,99,3,3,3,5,3,3,4,4,4,3,4,3,99,1,1,2,2,99,99,1,1,99,99,2,1,2,1.0,2.0,3.0,,,,,,,,,,3,3,4,99,99,99,99,99,99,4,4,3,4,4,4,4,3,99,3,5,5,2,99,3,4,3,3,,,,4,1,71,6,2,588.4958031232044,775.6471714382463,4
4,1,3,4,4,4,4,1,5,4,5,99,4,4,4,4,4,4,5,4,99,4,5,3,99,1,1,2,99,2,1,1,1,1,2,99,1,2,1.0,,,4.0,,,7.0,,,,,,4,3,3,4,1,4,3,4,99,2,4,4,4,5,4,4,4,99,3,5,5,3,99,4,99,4,5,3.0,3.0,3.0,3,2,41,3,4,518.7396010298404,775.6471714382463,4
5,1,3,4,2,4,99,99,99,99,99,99,3,4,3,5,4,4,4,5,4,99,99,3,99,1,1,99,99,99,1,99,1,1,2,99,1,2,,2.0,3.0,4.0,,,,,,,,,4,3,3,99,99,99,99,99,99,3,3,4,5,3,3,3,3,99,3,99,99,3,99,3,99,2,5,,,,4,2,56,5,3,627.8615550109802,775.6471714382463,4
6,1,3,3,99,4,99,99,99,99,99,99,99,99,4,4,4,4,3,3,99,99,99,3,99,99,99,2,99,99,1,1,1,1,2,2,2,2,1.0,2.0,,4.0,,,,,,,,,3,99,5,99,99,99,99,99,5,99,99,99,4,2,3,4,3,99,2,99,99,1,99,3,99,4,5,,,,3,2,48,4,2,578.2038549958687,775.6471714382463,5
7,1,3,3,3,3,4,3,3,3,4,3,3,4,3,3,4,3,5,3,4,3,4,4,4,2,1,99,2,2,2,1,1,2,1,2,1,2,,2.0,,,,,7.0,,9.0,,,,3,3,3,3,3,3,4,4,3,3,4,4,3,4,4,4,4,4,2,3,3,5,4,4,4,4,4,,,,4,1,31,2,3,400.4644341871231,775.6471714382463,5
8,1,3,2,3,4,3,4,3,3,3,4,3,4,3,4,3,4,3,4,4,4,3,4,4,2,1,1,1,2,1,1,1,2,1,2,2,2,1.0,2.0,,,,,7.0,,,,,,3,3,3,3,3,3,2,3,3,2,3,3,4,4,4,4,4,4,1,99,99,5,5,4,3,4,4,,,,1,2,69,6,3,825.4821773959635,775.6471714382463,3
9,1,3,4,4,3,4,3,4,4,4,3,4,4,4,4,4,3,4,4,4,99,99,4,4,1,1,99,99,1,1,1,1,1,2,99,1,2,,2.0,,,5.0,,7.0,,,,,,4,3,4,3,4,3,3,4,3,4,4,3,4,3,4,3,4,4,3,4,99,4,5,4,4,4,3,2.0,1.0,4.0,2,2,25,2,5,422.5865179027109,775.6471714382463,4
10,1,3,3,2,3,2,3,3,3,4,3,3,3,3,3,4,3,4,3,3,3,3,3,3,1,1,99,1,99,1,1,1,1,2,2,1,2,1.0,2.0,,,,,7.0,,,,,,3,4,3,3,4,3,4,4,4,3,4,4,4,3,4,4,3,4,3,5,5,4,4,3,4,4,4,,,,3,2,30,2,4,422.5865179027109,775.6471714382463,4
