Localidad,UPL,A1,A2,A3,A4,P102,P102_1,P103_1,P106,P111,P203,_Capture_gps_latitude,_Capture_gps_longitude,FEX,anio
5. Usme,6,2,34,7,2,2,3,2,1,4,1,4.498195,-74.0805153,20.49251438030723,2025
5. Usme,5,2,50,5,2,1,4,3,2,1,2,4.5148786,-74.0914572,702.1665050607764,2025
16. Puente Aranda,31,2,61,4,3,2,1,1,3,1,2,4.609275998,-74.10565235,76.7893850245187,2025
6. Tunjuelito,19,1,67,5,2,2,2,2,3,3,2,4.5847519,-74.1403362,77.5188285109892,2025
2. Chapinero,6,2,60,5,2,1,1,3,3,1,2,4.668471134,-74.02343928,30.47217109887849,2025
1. Usaquén,26,1,18,5,3,1,4,3,2,2,2,4.759420851,-74.02921762,680.1768464313973,2025
6. Tunjuelito,19,2,43,5,2,1,3,3,3,2,2,4.587724,-74.1406204,224.0777988408872,2025
4. San Cristóbal,5,1,53,7,2,2,2,1,3,1,2,4.530853718,-74.09060929,150.1725616124405,2025
6. Tunjuelito,19,2,62,7,3,2,3,5,2,3,2,4.5882588,-74.1411053,147.3736922663913,2025
3. Santa Fe,23,1,54,5,2,2,2,3,3,3,2,4.5920124,-74.0866149,75.60399033400775,2025
9. Fontibón,30,2,20,5,4,1,3,3,2,2,1,4.668009341,-74.12510412,136.7150353853392,2025
3. Santa Fe,23,2,27,5,2,2,3,1,3,1,2,4.612475,-74.0739217,86.27353477849276,2025
3. Santa Fe,23,2,46,5,2,2,3,5,1,1,1,4.6122134,-74.0735464,75.1912445766803,2025
3. Santa Fe,23,2,32,12,2,2,3,3,2,1,1,4.6121795,-74.0738927,91.40480366539232,2025
6. Tunjuelito,19,1,50,3,2,2,1,4,2,4,2,4.5891226,-74.1457934,111.8303737148313,2025
6. Tunjuelito,3,2,38,5,3,2,3,3,3,3,2,4.5883633,-74.1548019,61.19458892235938,2025
5. Usme,5,1,44,8,2,1,4,4,2,3,2,4.5029433,-74.1154083,232.4797082018961,2025
5. Usme,5,1,67,5,2,2,1,1,3,1,1,4.502635,-74.11449,143.7817426762436,2025
5. Usme,5,1,27,7,2,1,5,3,3,2,2,4.5029749,-74.1152942,232.5648159766949,2025
5. Usme,5,1,25,7,2,2,1,1,1,1,1,4.5029601,-74.115189,232.5648159766949,2025
3. Santa Fe,23,1,62,5,2,2,2,2,2,1,2,4.6116673,-74.0745202,56.91243221575493,2025
5. Usme,5,2,72,3,2,1,4,1,3,3,2,4.5025363,-74.1144878,143.364514552925,2025
