ANIO,NOMBRE_UPZ,NOMBRE_LOCALIDAD,total_comparendos,comparendos_seguridad,tasa_seguridad
2020,-,SIN LOCALIZACION,2272,504.0,0.22183098591549297
2020,20 DE JULIO,SAN CRISTOBAL,5408,1170.0,0.21634615384615385
2020,AEROPUERTO EL DORADO,FONTIBON,337,27.0,0.08011869436201781
2020,ALAMOS,ENGATIVA,1504,214.0,0.1422872340425532
2020,ALFONSO LOPEZ,USME,3017,1231.0,0.40802121312562145
2020,AMERICAS,KENNEDY,8003,1358.0,0.16968636761214545
2020,APOGEO,BOSA,6070,1847.0,0.3042833607907743
2020,ARBORIZADORA,CIUDAD BOLIVAR,2486,637.0,0.25623491552695093
2020,BAVARIA,KENNEDY,2034,345.0,0.1696165191740413
2020,BOLIVIA,ENGATIVA,2546,326.0,0.12804399057344854
2020,BOSA CENTRAL,BOSA,19215,4821.0,0.2508977361436378
2020,BOSA OCCIDENTAL,BOSA,14257,3532.0,0.24773795328610507
2020,BOYACA REAL,ENGATIVA,4632,902.0,0.19473229706390327
2020,BRITALIA,SUBA,1710,333.0,0.19473684210526315
2020,CALANDAIMA,KENNEDY,3955,784.0,0.19823008849557522
2020,CAPELLANIA,FONTIBON,2079,182.0,0.08754208754208755
2020,CARVAJAL,KENNEDY,7430,1200.0,0.16150740242261102
2020,CASA BLANCA SUBA,SUBA,749,96.0,0.12817089452603472
2020,CASTILLA,KENNEDY,7489,1349.0,0.18013085859260247
2020,CHAPINERO,CHAPINERO,8067,1597.0,0.19796702615594397
2020,CHICO LAGO,CHAPINERO,7831,1278.0,0.16319754820584856
2020,CIUDAD JARDIN,ANTONIO NARI?O,1557,292.0,0.18754014129736674
2020,CIUDAD MONTES,PUENTE ARANDA,3955,566.0,0.14310998735777497
2020,CIUDAD SALITRE OCCIDENTAL,ENGATIVA,1,678.0,678.0
2020,CIUDAD SALITRE OCCIDENTAL,FONTIBON,3808,678.0,0.17804621848739496
2020,CIUDAD SALITRE ORIENTAL,TEUSAQUILLO,965,125.0,0.12953367875647667
2020,CIUDAD USME,USME,1474,473.0,0.3208955223880597
2020,COMUNEROS,USME,4393,1712.0,0.3897109037104484
2020,CORABASTOS,KENNEDY,20973,3301.0,0.1573928384112907
2020,COUNTRY CLUB,USAQUEN,465,100.0,0.21505376344086022
2020,DANUBIO,USME,6459,1413.0,0.21876451463074778
2020,DIANA TURBAY,RAFAEL URIBE URIBE,5389,2385.0,0.4425681944702171
2020,DOCE DE OCTUBRE,BARRIOS UNIDOS,4256,678.0,0.15930451127819548
2020,EL MOCHUELO,CIUDAD BOLIVAR,36,12.0,0.3333333333333333
2020,EL PORVENIR,BOSA,6092,1482.0,0.2432698621142482
2020,EL PRADO,SUBA,1827,361.0,0.19759168035030103
2020,EL REFUGIO,CHAPINERO,1096,175.0,0.15967153284671534
